,row_index,piezo_station_department_code,piezo_station_update_date,piezo_station_investigation_depth,piezo_station_department_name,piezo_station_commune_code_insee,piezo_station_pe_label,piezo_station_bdlisa_codes,piezo_station_altitude,piezo_station_bss_code,piezo_station_commune_name,piezo_station_longitude,piezo_station_latitude,piezo_station_bss_id,piezo_bss_code,piezo_measurement_date,piezo_obtention_mode,piezo_status,piezo_qualification,piezo_continuity_code,piezo_continuity_name,piezo_producer_code,piezo_producer_name,piezo_measure_nature_code,piezo_measure_nature_name,meteo_id,meteo_name,meteo_latitude,meteo_longitude,meteo_altitude,meteo_date,meteo_rain_height,meteo_DRR,meteo_temperature_min,meteo_time_tn,meteo_temperature_max,meteo_time_tx,meteo_temperature_avg,meteo_temperature_avg_threshold,meteo_temperature_min_ground,meteo_temperature_min_50cm,meteo_frost_duration,meteo_amplitude_tn_tx,meteo_temperature_avg_tntm,meteo_pressure_avg,meteo_pression_maxi,meteo_wind_speed_avg_10m,meteo_wind_max,meteo_wind_direction_max_inst,meteo_time_wind_max,meteo_wind_avg,meteo_wind_direction_max_avg,meteo_time_wind_avg,meteo_wind_speed_avg_2m,meteo_wind_max_2m,meteo_wind_direction_max_inst_2m,meteo_time_wind_max_2m,meteo_wind_max_3s,meteo_time_wind_max_3s,meteo_humidity_min,meteo_time_humidity_min,meteo_humidity_max,meteo_time_humidity_max,meteo_humidity_duration_below_40%,meteo_humidity_duration_above_80%,meteo__pressure_saturation_avg,meteo_wetting_duration,meteo_humidity_avg,meteo_sunshine_duration,meteo_radiation,meteo_radiation_direct,meteo_sunshine_%,meteo_radiation_IR,meteo_radiation_UV_max,meteo_cloudiness,meteo_cloudiness_height,meteo_if_snow,meteo_if_fog,meteo_if_thunderstorm,meteo_if_sleet,meteo_if_hail,meteo_if_dew,meteo_if_black_ice,meteo_if_snow_ground,meteo_if_frost,meteo_if_smoke,meteo_if_mist,meteo_if_lightning,meteo_evapotranspiration_Monteith,meteo_evapotranspiration_grid,meteo_radiation_UV,meteo_snow_height,meteo_snow_thickness_max,meteo_snow_thickness_6h,distance_piezo_meteo,hydro_station_code,hydro_observation_date_elab,hydro_observation_result_elab,hydro_status_code,hydro_status_label,hydro_method_code,hydro_method_label,hydro_qualification_code,hydro_qualification_label,hydro_longitude,hydro_latitude,hydro_hydro_quantity_elab,distance_piezo_hydro,prelev_structure_code_0,prelev_volume_0,prelev_usage_label_0,prelev_volume_obtention_mode_label_0,prelev_longitude_0,prelev_latitude_0,prelev_commune_code_insee_0,prelev_structure_code_1,prelev_volume_1,prelev_usage_label_1,prelev_volume_obtention_mode_label_1,prelev_longitude_1,prelev_latitude_1,prelev_commune_code_insee_1,prelev_structure_code_2,prelev_volume_2,prelev_usage_label_2,prelev_volume_obtention_mode_label_2,prelev_longitude_2,prelev_latitude_2,prelev_commune_code_insee_2,prelev_other_volume_sum,insee_%_agri,insee_pop_commune,insee_med_living_level,insee_%_ind,insee_%_const,piezo_groundwater_level_category
0,0,01,Sun Jul 14 13:00:02 CEST 2024,20.0,Ain,01073,PIEZOMETRE - MARAIS DE LAVOURS (CEYZERIEU - BRGM 01) - BSH,['712AH37'],232.0,07004X0046/D6-20,Ceyzérieu,5.74824091305697,45.8281483770952,BSS001TTQQ,07004X0046/D6-20,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,1034004,BELLEY,5.688,45.769333,330,2020-01-01,0.2,,-1.6,516.0,3.9,1352.0,0.7,1.15,-3.7,,577.0,5.5,1.2,,,1.5,6.7,360.0,1047.0,4.1,30.0,1042.0,,,,,6.4,1034.0,82.0,1512.0,99.0,520.0,0.0,1440.0,6.0,,94.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,8.036207457564897,V142501001,2020-01-01,1833.0,16,Donnée validée,12,Interpolation,20,Bonne,5.685831498,45.874843213,QmJ,7.093852028483942,OPR0000048924,10743145235.0,EAU TURBINEE (barrage),Mesure indirecte,5.811394453689891,45.87886223180411,1010.0,OPR0000048938,10608280884.0,EAU TURBINEE (barrage),Mesure indirecte,5.832829988488969,45.95858543824033,1407.0,OPR0000048941,10380984702.0,EAU TURBINEE (barrage),Mesure indirecte,5.698946813070766,45.72510615266517,1454.0,1793055303.0,11.8,992.0,25250,2.9,16.2,High
1,1,01,Sun Jul 14 13:00:02 CEST 2024,35.6,Ain,01363,PIEZOMETRE - GRAVIERE (ST-JEAN-LE-VIEUX - BRGM 01) - BSH,['712GB05'],247.25,06754X0077/F1,Saint-Jean-le-Vieux,5.35663675229116,46.0281018091017,BSS001SCTM,06754X0077/F1,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,1089001,AMBERIEU,5.329333,45.9765,250,2020-01-01,0.0,0.0,-2.2,306.0,0.0,1322.0,-1.2,-1.1,-1.3,-1.5,1440.0,2.2,-1.1,1034.4,1033.6,,3.8,20.0,1130.0,2.4,360.0,1204.0,,,,,3.7,1130.0,97.0,1.0,98.0,1129.0,0.0,1440.0,5.5,,97.0,0.0,184.0,,0.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,0.2,0.2,,,0.0,0.0,6.113148205941398,V271201001,2020-01-01,93389.0,16,Donnée validée,12,Interpolation,20,Bonne,5.33642818,46.047081645,QmM,2.6243730549648703,OPR0000048937,12492016256.0,EAU TURBINEE (barrage),Mesure indirecte,5.405994911069223,45.853164976728806,1396.0,OPR0000048934,2206199675.0,EAU TURBINEE (barrage),Mesure indirecte,5.421807985545522,46.11202044770287,1303.0,OPR0000048925,1818149836.0,EAU TURBINEE (barrage),Mesure indirecte,5.464932552162862,46.21073434398066,1051.0,1085124529.0,0.6,1786.0,24660,44.5,11,Very High
2,2,01,Sun Jul 14 13:00:02 CEST 2024,35.22,Ain,01244,PIEZOMETRE - BORD AUTOROUTE (MEXIMIEUX - BRGM 01) - BSH,['040AJ43'],218.77,06993X0226/MEXI_2,Meximieux,5.22079494499652,45.8957342695518,BSS001TRPH,06993X0226/MEXI_2,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,1027003,BALAN_AERO,5.106667,45.833,196,2020-01-01,,,-1.4,321.0,0.6,1524.0,-0.6,-0.4,,,1228.0,2.0,-0.4,,,,,,,,,,,,,,,,99.0,1.0,99.0,1.0,0.0,1440.0,5.8,,99.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,11.258567271907056,V294201001,2020-01-01,108237.0,16,Donnée validée,12,Interpolation,20,Bonne,5.2334923,45.906423056,QmJ,1.542071461416166,OPR0000048937,12492016256.0,EAU TURBINEE (barrage),Mesure indirecte,5.405994911069223,45.853164976728806,1396.0,OPR0000124916,1572483960.0,ENERGIE,Mesure indirecte,5.272823745743039,45.79857368062911,1390.0,OPR0000049346,698123974.0,EAU TURBINEE (barrage),Mesure indirecte,5.085060232188761,45.81282810297125,69266.0,381049179.0,0,8085.0,24890,8.4,7.8,High
3,3,01,Sun Jul 14 13:00:02 CEST 2024,34.2,Ain,01288,PIEZOMETRE - GRENY (PERON - BRGM 01) - BSH,"['516AA00', '516AF00']",499.85,06533X0070/F2,Péron,5.948977061757,46.2011796846287,BSS001RGXM,06533X0070/F2,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,39413001,LA PESSE,5.843,46.302833,1133,2020-01-01,0.0,,-2.3,,7.7,,0.4,2.7,,,,10.0,2.7,,,1.4,4.3,280.0,1205.0,,,,,,,,,,,,,,,,4.3,,68.0,,643.0,,,,,,,,,,,,,,,,,,,1.1,0.9,,,0.0,0.0,13.934289617744025,V100001002,2020-01-01,305464.0,16,Donnée validée,12,Interpolation,12,Douteuse,5.964334247,46.137640984,QmM,7.163470052925443,OPR0000048929,10382890609.0,EAU TURBINEE (barrage),Mesure indirecte,5.812855315085136,46.05262309868395,1189.0,OPR0000048935,3667773604.0,EAU TURBINEE (barrage),Mesure indirecte,5.976085237703332,46.16070874441316,1308.0,OPR0000049285,184369115.0,EAU TURBINEE (barrage),Mesure indirecte,5.80284142164585,46.36604880801198,39286.0,380091107.0,1.5,2838.0,39700,2.4,5.2,Very High
4,4,01,Sun Jul 14 13:00:02 CEST 2024,37.3,Ain,01422,FORAGE - ENCLOS (TOSSIAT - BRGM 01) - BSH,['507AB00'],260.0,06518X0026/P2,Tossiat,5.31335279619436,46.1364022022903,BSS001RFRV,06518X0026/P2,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,1072001,CEYZERIAT_SAPC,5.287667,46.204333,260,2020-01-01,0.0,,-2.1,510.0,0.4,2034.0,-0.8,-0.85,,,1103.0,2.5,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,7.808227906877581,U400000101,2020-01-01,85.0,12,Donnée pré-validée,12,Interpolation,20,Bonne,5.330753535,46.143007226,QmJ,1.5286689670478684,OPR0000048934,2206199675.0,EAU TURBINEE (barrage),Mesure indirecte,5.421807985545522,46.11202044770287,1303.0,OPR0000048925,1818149836.0,EAU TURBINEE (barrage),Mesure indirecte,5.464932552162862,46.21073434398066,1051.0,OPR0000048932,926308000.0,EAU TURBINEE (barrage),Mesure indirecte,5.377264685535519,46.08098929540223,1273.0,19666309.0,0.2,1352.0,26180,21.5,9.8,Very Low
5,5,01,Fri Jun 28 07:31:38 CEST 2024,50.0,Ain,01022,,['516AK00'],250.0,07004X0019/S3,Artemare,5.67968965768233,45.8747379515159,BSS001TTPV,07004X0019/S3,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,1.0,Point initial,20004035000015.0,Communauté de communes Bugey Sud (20004035000015),I,Influencé,1414001,SUTRIEU,5.624667,45.916167,878,2020-01-01,0.0,,-0.6,1759.0,10.1,1321.0,3.5,4.75,,,339.0,10.7,4.8,,,,,,,,,,,,,,,,38.0,1314.0,95.0,2127.0,21.0,362.0,4.9,,64.0,458.0,699.0,,90.0,,,,,,,,,,,,,,,,,0.9,0.9,,,0.0,0.0,6.273211763491475,V142501001,2020-01-01,1833.0,16,Donnée validée,12,Interpolation,20,Bonne,5.685831498,45.874843213,QmJ,0.4756274964585637,OPR0000048924,10743145235.0,EAU TURBINEE (barrage),Mesure indirecte,5.811394453689891,45.87886223180411,1010.0,OPR0000048938,10608280884.0,EAU TURBINEE (barrage),Mesure indirecte,5.832829988488969,45.95858543824033,1407.0,OPR0000048929,10382890609.0,EAU TURBINEE (barrage),Mesure indirecte,5.812855315085136,46.05262309868395,1189.0,11472860352.0,0,1177.0,22000,3.3,8.4,Very High
6,6,01,Sun Jul 14 13:00:02 CEST 2024,21.0,Ain,01390,PIEZOMETRE - STATION ESSENCE (ST-VULBAS - BRGM 01) - BSH,['712GB05'],208.21,06993X0087/F6,Saint-Vulbas,5.28515582463829,45.8373966492216,BSS001TRJH,06993X0087/F6,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,1089001,AMBERIEU,5.329333,45.9765,250,2020-01-01,0.0,0.0,-2.2,306.0,0.0,1322.0,-1.2,-1.1,-1.3,-1.5,1440.0,2.2,-1.1,1034.4,1033.6,,3.8,20.0,1130.0,2.4,360.0,1204.0,,,,,3.7,1130.0,97.0,1.0,98.0,1129.0,0.0,1440.0,5.5,,97.0,0.0,184.0,,0.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,0.2,0.2,,,0.0,0.0,15.840756075506803,V294201001,2020-01-01,108237.0,16,Donnée validée,12,Interpolation,20,Bonne,5.2334923,45.906423056,QmJ,8.655075122906222,OPR0000048937,12492016256.0,EAU TURBINEE (barrage),Mesure indirecte,5.405994911069223,45.853164976728806,1396.0,OPR0000124916,1572483960.0,ENERGIE,Mesure indirecte,5.272823745743039,45.79857368062911,1390.0,OPR0000049346,698123974.0,EAU TURBINEE (barrage),Mesure indirecte,5.085060232188761,45.81282810297125,69266.0,385491607.0,0,1234.0,24750,51.4,0.6,High
7,7,01,Sun Jul 14 13:00:02 CEST 2024,78.0,Ain,01173,PIEZOMETRE - CENTRE EQUESTRE (GEX - BRGM 01) - BSH,['516AF00'],558.68,06288X0096/SB,Gex,6.06971045433496,46.3290304971764,BSS001QCDZ,06288X0096/SB,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,1071001,CESSY,6.080333,46.310333,507,2020-01-01,0.0,,-0.5,542.0,1.5,1308.0,0.5,0.5,-0.3,,379.0,2.0,0.5,,,1.5,4.3,340.0,622.0,3.2,320.0,543.0,,,,,4.1,622.0,89.0,1315.0,99.0,1.0,0.0,1440.0,6.1,,95.0,0.0,131.0,,0.0,,,,,,,,,,,,,,,,,0.1,0.3,,,0.0,0.0,2.233378739543576,V041504001,2020-01-01,615.0,16,Donnée validée,12,Interpolation,20,Bonne,6.028608342,46.298583152,QmJ,4.628979660313902,OPR0000048935,3667773604.0,EAU TURBINEE (barrage),Mesure indirecte,5.976085237703332,46.16070874441316,1308.0,OPR0000049305,62301333.0,EAU TURBINEE (barrage),Mesure indirecte,5.862776534102147,46.39256454653498,39478.0,OPR0000585117,53896368.0,EAU TURBINEE (barrage),Mesure indirecte,5.865994657239552,46.39706111090366,39478.0,150992256.0,0,13078.0,35280,3.4,5.1,Very Low
8,8,01,Sun Jul 14 13:00:02 CEST 2024,10.0,Ain,01010,FORAGE - VOIE FERREE (BOURSIN - BRGM 01) - BSH,['712AH37'],250.45,06775X0010/BOURSI,Anglefort,5.82327427421463,45.9196304800455,BSS001SEGB,06775X0010/BOURSI,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,1033002,BELLEGARDE,5.814167,46.0865,350,2020-01-01,0.0,,-2.9,2241.0,4.7,1345.0,-0.4,0.9,,,1065.0,7.6,0.9,,,0.3,3.2,170.0,1423.0,1.6,180.0,1243.0,,,,,,,76.0,1433.0,97.0,6.0,0.0,1359.0,5.5,,93.0,184.0,425.0,,36.0,,,,,,,,,,,,,,,,,0.3,0.2,,,,,18.56837285839536,V113000101,2020-01-01,431204.0,4,Donnée brute,12,Interpolation,12,Douteuse,5.832380668,45.967931835,QmJ,5.416823343455521,OPR0000048924,10743145235.0,EAU TURBINEE (barrage),Mesure indirecte,5.811394453689891,45.87886223180411,1010.0,OPR0000048938,10608280884.0,EAU TURBINEE (barrage),Mesure indirecte,5.832829988488969,45.95858543824033,1407.0,OPR0000048929,10382890609.0,EAU TURBINEE (barrage),Mesure indirecte,5.812855315085136,46.05262309868395,1189.0,2213188796.0,0,1125.0,24700,74.8,6.7,Low
9,9,01,Sun Jul 14 13:00:02 CEST 2024,62.6,Ain,01446,FORAGE - GEOTHERMIE (VILLENEUVE - BRGM 01) - BSH,['507AC00'],265.22,06742X0001/VILLEN,Villeneuve,4.83075421003292,46.018340873965,BSS001SBPB,06742X0001/VILLEN,2020-01-01,Valeur mesurée,Donnée contrôlée niveau 2,Correcte,2.0,Point lié au point précédent,196.0,Service Géologique Régional Rhône-Alpes (196),N,Naturel,69264001,VILLEFRANCHE,4.737667,45.987167,174,2020-01-01,0.0,,-1.5,620.0,0.3,1334.0,-0.3,-0.6,,,993.0,1.8,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,7.981907318498154,U452521001,2020-01-01,326.0,16,Donnée validée,12,Interpolation,20,Bonne,4.73561094,45.986984504,QmM,8.133938987515512,OPR0000590046,1865072836.0,EAU TURBINEE (barrage),Mesure indirecte,4.829988267861112,45.82999606088136,69068.0,OPR0000130160,825042913.0,EAU TURBINEE (barrage),Mesure indirecte,4.769990948275643,46.14999546812447,69077.0,OPR0000583129,4694125.0,EAU POTABLE,Mesure directe,4.72547391175957,45.983335511657,69264.0,29204136.0,6,1569.0,26440,1.2,21.4,High
